,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
교육기관명,과정명,교육시작일자,교육종료일자,교육일수,교육시간,교육장소,온라인/오프라인,강사명,내일배움카드 필요 유뮤,수강료 지원금,자비부담금,수강료 합계,지원혜택,,훈련목표,커리큘럼,,,,,,,,,,지원자격,,선발절차,,,,훈련시설 및 장비,,,프로젝트,,,,,취업지원서비스,,,
팀스파르타주식회사,[스타트업][스마트훈련]실무형 UX/UI 디자이너 양성과정,20251127,20260408,89,960,서울 강남구,온라인,미상,유, 9493000 , 0 ," 9,493,000 "," 316,000 ", 없음 ," 1.Product Design: 단순히 예쁜 디자인이 아니라, 비즈니스 문제를 해결하는 논리적인 UX 설계 능력 함양.
2.Tool Mastery: **Figma(피그마)**의 오토레이아웃, 컴포넌트, 베리어블 등 심화 기능을 마스터하여 실무 즉시 투입 가능한 수준 도달 ",기본,심화,기본,심화,심화,심화,심화,심화,심화,심화," 국민내일배움카드 발급 가능자, 평일 오전 9시부터 오후 9시까지(하루 12시간) 몰입 학습이 가능한 자. "," 비전공자라도 성장 의지가 강한 자, 팀 프로젝트 협업에 적극적인 자. ", O , O , O , X , 개인장비 , O , 없음 , 3 , 2 , 자율구성 , Slack , O , O , O , O , O 
넥스트러너스평생교육시설,스타트업 맞춤형 프로덕트 디자이너 양성 과정,20251127,20260409,90,720,서울 서초구,온라인,미상,유, 9493000 , 0 ," 9,493,000 "," 316,000 ", 없음 ," 1.Product Thinking: 사용자의 문제를 정의하고, 데이터를 통해 가설을 검증하며, 비즈니스 성과를 만드는 제품 사고력(Product Thinking) 함양
2.Figma Proficiency: 현업 표준 툴인 Figma를 활용하여 디자인 시스템을 구축하고, 개발 효율을 높이는 UI 설계 능력 습득. ",기본,심화,기본,심화,심화,심화,심화,심화,심화,심화," 국민내일배움카드 발급 가능자, 훈련 기간 동안 풀타임 학습이 가능한 자. "," 디자인 관련 전공자 우대하나, 비전공자라도 스타트업 문화에 관심이 많고 주도적인 성향을 가진 사람을 선호 ", O , O , X , O , 개인장비 , O , 없음 , 3 , 2 , 자율구성 , Slack , O , O , O , O , O 
팀스파르타주식회사,"빅데이터 기반 품질 관리(QA, QC) 양성과정",20251127,20260506,108,1080,서울 강남구,온라인,미상,유, 9493000 , 0 ," 9,493,000 "," 316,000 ", 없음 ," 1.SW Testing: ISTQB 기반의 테스팅 이론, 테스트 케이스(TC) 설계 및 결함 리포팅 능력 함양
2.Quality Insight: 단순 버그 발견을 넘어, 서비스 품질 향상을 위한 인사이트를 도출하는 QA 엔지니어 양성 ",기본,기본,심화,기본,심화,기본,기본,기본,기본,심화," 국민내일배움카드 발급 가능자, 평일 9시~21시(하루 12시간) 몰입 학습이 가능한 자 "," 꼼꼼하고 논리적인 성격 소유자, 반복적인 검증 과정을 끈기 있게 수행할 수 있는 자, IT 비전공자지만 기술 직군으로 취업하고 싶은 자 ", O , O , O , X , 개인장비 , O , 없음 , 3 , 2 , 자율구성 , Slack , O , O , O , O , O 
하이미디어아카데미인재개발원,"[실무프로젝트]자바 웹개발자(React, Springboot, intelliJ, AWS)",20251127,20260519,118,940,서울 종로구,오프라인,미상,유, 9493000 , 0 ," 9,493,000 "," 316,000 ", 없음 ," 1.Modern Java: Eclipse가 아닌 현업 표준 IntelliJ IDEA를 활용하여 Java & Spring Boot 기반의 백엔드 서버 구축
2.SPA Frontend: JSP가 아닌 React.js를 활용하여 사용자 경험(UX)이 뛰어난 싱글 페이지 애플리케이션(SPA) 구현 ",기본,심화,기본,기본,기본,기본,기본,기본,기본,심화," 국민내일배움카드 소지자, 훈련 기간 성실 참여 가능한 구직자 ","컴퓨터공학 전공자, 자바 프로그래밍 기초 학습자, 개발 도구(Tool) 및 최신 기술 습득에 거부감이 없는 자", O , O , X , X , PC , O , 없음 , 3 , 2 , 자율구성 , Git/GitHub , O , O , O , O , O 
더조은컴퓨터아카데미,빅데이터 기반 AI활용 앱&웹 개발자(풀스택) 취업캠프,20251127,20260615,135,1080,서울 강남구,오프라인,미상,유, 9493000 , 0 ," 9,493,000 "," 316,000 ", 없음 ," 1.Full-Stack: Java & Spring Boot를 활용하여 안정적인 웹 서버를 구축하고, HTML/CSS/JS(React 등)로 프론트엔드를 구현
2.App Development: 하이브리드 앱 또는 반응형 웹 기술을 통해 모바일 환경까지 지원하는 서비스 개발 ",심화,심화,심화,심화,기본,기본,심화,기본,심화,기본," 국민내일배움카드 발급 가능자, 6개월간 평일 주 5일 훈련에 성실히 참여할 수 있는 구직자 "," 컴퓨터공학/통계학 등 관련 전공자, 정보처리기사/빅데이터분석기사 자격증 소지자, 프로그래밍(Java 또는 Python) 기초 지식 보유자 ", O , O , X , X , PC , O , 없음 , 3 , 2 , 자율구성 , Git/GitHub , O , O , O , O , O 
(주)솔데스크,자바/파이썬/챗GPT를 활용한 AI 개발자 양성과정,20251127,20260521,120,960,서울 종로구,오프라인,미상,유, 9493000 , 0 ," 9,493,000 "," 316,000 ", 없음 ," 1.Java Web Backend: Spring Boot 프레임워크를 활용하여 안정적인 웹 애플리케이션 서버를 구축
2.ChatGPT API: OpenAI의 API를 활용하여 챗봇, 자동 요약, 추천 시스템 등 AI 기능이 탑재된 지능형 웹 서비스 구현 ",기본,심화,기본,기본,심화,기본,없음,기본,기본,심화," 국민내일배움카드 발급 가능자, 6개월간 풀타임 교육 참여가 가능한 구직자 "," 컴퓨터공학/소프트웨어 관련 전공자, Java 또는 Python 언어 입문자, 최신 AI 기술을 웹 서비스에 접목해보고 싶은 비전공자 ", O , O , X , X , PC , O , 없음 , 3 , 2 , 자율구성 , Git/GitHub , O , O , O , O , O 
더조은컴퓨터아카데미,JAVA 풀스택 웹&앱 개발자(클라우드) 취업캠프,20251127,20260615,135,1080,서울 강남구,오프라인,미상,유, 9493000 , 0 ," 9,493,000 "," 316,000 ", 없음 ," 1.Web Backend: Java & Spring Framework를 활용한 안정적인 웹 서버 및 API 개발
2.Mobile App: Android (Java/Kotlin) 또는 하이브리드 앱 기술을 활용하여 모바일 애플리케이션 구현. ",기본,심화,기본,기본,기본,기본,없음,기본,기본,심화," 국민내일배움카드 발급 대상자, 6개월간 훈련에 전념할 수 있는 미취업자 "," 컴퓨터 관련 전공자, 정보처리기사 소지자, 앱 개발에 관심이 있거나 기초적인 자바 학습 경험이 있는 자 ", O , O , X , X , PC , O , 없음 , 3 , 2 , 자율구성 , Git/GitHub , O , O , O , O , O 
삼성국민취업아카데미(주),"심화_심층 데이터 분석을 통한 개인 맞춤형 예측 자동화 서비스 솔루션 개발 과정 (Hadoop, Tableau, TensorFlow)",20251127,20260129,44,349,경기 성남시 수정구,오프라인,미상,유, 9493000 , 0 ," 9,493,000 "," 116,000 ", 없음 ," 1.Big Data Infra: Hadoop(하둡) 에코시스템을 활용한 대용량 데이터 저장 및 처리 환경 구축
2.Deep Learning: TensorFlow를 활용하여 개인화 맞춤형 예측 모델(추천 시스템 등) 개발 ",기본,기본,기본,심화,기본,기본,기본,기본,기본,심화," 국민내일배움카드 소지자, 훈련 기간(약 2개월) 동안 평일 9시~18시 풀타임 참여 가능한 구직자 "," 단기 심화 과정이므로 IT/통계 관련 전공자이거나, 파이썬/빅데이터 기초 교육을 이미 수료한 사람을 강력하게 우대 ", O , O , X , X , PC , O , 없음 , 1 , 2 , 자율구성 , Git/GitHub , O , O , O , O , O 
삼성국민취업아카데미(주),"융합_[ ESG ] AIoT를 활용한 스마트 환경공정제어 자동화시스템 구축 (MES, ERP, PLC)",20251127,20260623,139,1110,경기 성남시 수정구,오프라인,미상,유, 9493000 , 0 ," 9,493,000 "," 316,000 ", 없음 ," 1.Factory Automation: PLC(Programmable Logic Controller)를 활용하여 생산 설비를 제어하고 공정을 자동화하는 기술 습득
2.ESG Management: 공장의 에너지 사용량 모니터링, 오염 물질 배출 관리 등 친환경 공정 제어 시스템 구현 ",기본,심화,심화,없음,없음,없음,없음,심화,심화,심화," 국민내일배움카드 소지자, 약 6개월간 훈련에 집중할 수 있는 구직자 "," 전기/전자/기계공학 또는 컴퓨터공학 전공자, 정보처리/전기/전자 관련 자격증 소지자 ", O , O , X , X , PC , O , 없음 , 3 , 2 , 자율구성 , Git/GitHub , O , O , O , O , O 
구디아카데미,[프로젝트] 클라우드(AWS)활용 자바/스프링 개발 부트캠프,20251127,20260610,130,1040,서울 금천구,오프라인,미상,유, 9493000 , 0 ," 9,493,000 "," 316,000 ", 없음 ," 1.Backend Core: Java 언어 심화 및 Spring Framework (Legacy/Boot)를 활용한 백엔드 애플리케이션 개발
2.Cloud: AWS (EC2, RDS) 클라우드 인프라를 구축하고, 개발한 웹 서비스를 배포 및 운영하는 실무 능력 습득 ",기본,심화,기본,없음,기본,기본,없음,심화,기본,심화," 국민내일배움카드 발급 가능자, 약 6개월간 평일 주 5일 훈련에 성실히 참여할 수 있는 미취업자 "," 정보통신 관련 전공자, 정보처리(산업)기사 자격증 소지자, 프로그래밍 기초 학습 경험이 있는 자 ", O , O , X , X , PC , O , 없음 , 3 , 2 , 자율구성 , Git/GitHub , O , O , O , O , O 
글로벌아이티(IT)인재개발학원,생성형 AI&LLM 기반 보안 시스템 엔지니어 양성 과정,20251127,20260521,120,960,서울 관악구,오프라인,미상,유, 9493000 , 0 ," 9,493,000 "," 316,000 ", 없음 ," 1.Generative AI & LLM: Python을 활용해 ChatGPT API나 오픈소스 LLM(Llama 등)을 연동하고, 보안 로그 데이터를 학습/분석시키는 방법 학습
2.Infra Security: Linux/Windows Server 및 네트워크 인프라를 구축하고, 방화벽/IPS 등 보안 장비를 운영하여 시스템을 보호하는 기술 습득
 ",심화,심화,기본,기본,기본,심화,기본,심화,기본,심화," 국민내일배움카드 발급 가능자, 6개월간 풀타임(주 5일) 학습이 가능한 구직자 "," 컴퓨터/정보보호 관련 전공자, 네트워크 관리사/리눅스 마스터 등 기초 자격증 소지자 ", O , O , X , X , PC , O , 없음 , 3 , 2 , 자율구성 , Git/GitHub , O , O , O , O , O 
두드림IT교육원,(머신러닝+딥러닝 활용)제조 데이터를 활용한 빅데이터 플랫폼 구축과정,20251127,20260605,128,1024,경기 성남시 중원구,오프라인,미상,유, 9493000 , 0 ," 9,493,000 "," 316,000 ", 없음 ," 1.Big Data Platform: Hadoop Ecosystem(HDFS, Spark 등)을 활용하여 제조 현장의 센서/로그 데이터를 실시간으로 수집·저장하는 파이프라인 구축
2.AI Analysis: 수집된 데이터를 머신러닝/딥러닝(TensorFlow/PyTorch) 알고리즘으로 분석하여 설비 고장 예측(예지보전), 품질 불량 탐지 모델 개발 ",기본,심화,심화,심화,기본,기본,기본,기본,기본,심화," 국민내일배움카드 발급 가능자, 6개월간 훈련에 참여 가능한 구직자 "," 통계/산업공학/컴퓨터공학 전공자, SQL 및 Python 기초 지식 보유자 ", O , O , X , X , PC , O , 없음 , 3 , 2 , 자율구성 , Slack , O , O , O , O , O 
팀스파르타주식회사,Unreal 기반 3D 게임 개발자 양성과정,20251127,20260722,162,1620,서울 강남구,온라인,미상,유, 9493000 , 0 ," 9,493,000 "," 316,000 ", 없음 ," 1.C++ Mastery: 언리얼 엔진의 근간이 되는 C++ 언어를 깊이 있게 학습하여 고성능 게임 로직 구현 능력 함양
2.Unreal Engine 5: 최신 엔진인 UE5의 블루프린트(Visual Scripting)와 C++ 클래스를 모두 활용하여 AAA급 게임 콘텐츠 제작 ",심화,기본,기본,기본,심화,기본,심화,기본,기본,심화," 국민내일배움카드 발급 가능자, 평일 9시~21시(하루 12시간) 강도 높은 학습을 견딜 수 있는 자 "," 컴퓨터공학 전공자, C/C++ 언어 기초 학습자, 게임 개발에 대한 열정이 남다른 비전공자 ", O , O , O , X , 개인장비 , O , 없음 , 3 , 2 , 자율구성 , Git/GitHub , O , O , O , O , O 
(주)이스트소프트,"[이스트캠프] AI 휴먼(멀티모달, TTS, STT, 프롬프트 엔지니어링, RAG)",20251127,20260430,102,800,광주 북구,오프라인,미상,유, 9493000 , 0 ," 9,493,000 "," 316,000 ", 없음 ," 1.Multi-modal AI: 텍스트(Text), 음성(Audio), 영상(Video) 데이터를 복합적으로 처리하여 사람처럼 말하고 움직이는 AI 휴먼(Virtual Human) 구현 기술 습득
2.LLM Application: RAG(검색 증강 생성) 기술을 활용하여, 특정 도메인 지식을 갖춘 똑똑한 AI 챗봇 및 상담원 서비스 개발 ",심화,심화,심화,기본,기본,심화,심화,기본,기본,기본," 국민내일배움카드 발급 가능자, 평일 9시~18시 풀타임 학습이 가능한 자 "," 컴퓨터공학/인공지능 관련 전공자, Python 프로그래밍 및 딥러닝 기초 지식 보유자 ", O , O , O , X , PC , O , 없음 , 3 , 2 , 자율구성 , Git/GitHub , O , O , O , O , O 
삼성국민취업아카데미(주),[인공지능]AIoT를 이용한 빅데이터 분석 산업솔루션 개발 취업연계 부트캠프,20251127,20260619,137,1090,경기 성남시 수정구,오프라인,미상,유, 9493000 , 0 ," 9,493,000 "," 316,000 ", 없음 ," 1.AIoT System: 라즈베리파이, 아두이노 등 IoT 센서 디바이스를 활용하여 현장 데이터를 수집하고 제어하는 기술 습득
2.Industrial Solution: 분석된 데이터를 바탕으로 예지보전, 불량 탐지 등 실제 산업 현장의 문제를 해결하는 지능형 솔루션(Web/App) 개발 ",기본,기본,심화,기본,심화,기본,심화,기본,기본,심화," 국민내일배움카드 발급 대상자, 약 6개월간 훈련에 집중할 수 있는 미취업자 및 졸업예정자 "," 컴퓨터공학, 전자공학, 통계학 등 관련 전공자. 혹은 데이터 분석이나 IoT 기술에 흥미가 있고 기초 학습 경험이 있는 비전공자 ", O , O , X , X , PC , O , 없음 , 3 , 2 , 자율구성 , Git/GitHub , O , O , O , O , O 
그린컴퓨터아카데미 부산,"지역인재양성을 위한 MSA기반 크로스 플랫폼(자바,Springboot,Flutter) 개발자 과정",20251127,20260617,138,1100,부산 부산진구,오프라인,미상,유, 9493000 , 0 ," 9,493,000 "," 316,000 ", 없음 ," 1.MSA Backend: Java & Spring Boot를 기반으로, 대용량 트래픽 처리에 적합한 마이크로서비스 아키텍처(MSA) 서버를 설계하고 구축
2.Cross-Platform App: 구글의 Flutter(Dart) 프레임워크를 활용하여, 한 번의 코딩으로 Android와 iOS 앱을 동시에 개발 ",기본,심화,기본,심화,기본,기본,심화,기본,심화,심화," 국민내일배움카드 발급 가능자, 부산/경남 지역 거주자(지역인재 우대 가능성 있음), 6개월 풀타임 학습 가능자 "," 컴퓨터공학 전공자, 자바 프로그래밍 기초가 되어 있는 자 ", O , O , O , X , PC , O , 없음 , 3 , 2 , 자율구성 , Git/GitHub , O , O , O , O , O 
연세IT미래교육원,AI 네이티브 언리얼(Unreal) 게임프로그래밍(VR콘텐츠 제작 전문가 양성),20251127,20260714,154,1232,경기 수원시 장안구,오프라인,미상,유, 9493000 , 0 ," 9,493,000 "," 316,000 ", 없음 ," 1.Unreal C++: 언리얼 엔진의 핵심 언어인 C++을 마스터하고, 블루프린트(Visual Scripting)와 연계하여 고성능 게임 로직 구현
2.AI Integration: 게임 내 NPC의 지능(AI)을 구현하거나, 생성형 AI를 활용하여 게임 에셋/스토리를 제작하는 기술 융합 ",심화,기본,기본,기본,심화,심화,심화,기본,기본,심화," 국민내일배움카드 발급 가능자, 장기 훈련에 참여 가능한 미취업자 "," 컴퓨터공학/게임공학 전공자, C/C++ 언어 기초 학습자, 게임 개발 분야 취업 의지가 확고한 자 ", O , O , X , X , PC , O , 없음 , 3 , 2 , 자율구성 , Git/GitHub , O , O , O , O , O 
글로벌아이티(IT)인재개발학원,"ChatGPT를 활용한 AI 웹앱(자바,파이썬) 서비스 개발자 양성 과정",20251127,20260521,120,960,서울 관악구,오프라인,미상,유, 9493000 , 0 ," 9,493,000 "," 316,000 ", 없음 ," 1.Java Web: Java & Spring Boot를 기반으로 안정적인 엔터프라이즈급 웹 백엔드 시스템 구축
2.Integration: 자바(서버)와 파이썬(AI)을 연동하여, 인공지능이 결합된 지능형 웹 서비스 완성 ",기본,심화,기본,기본,심화,기본,없음,기본,기본,심화," 국민내일배움카드 발급 가능자, 6개월간 성실히 훈련에 참여할 미취업자 "," 컴퓨터 관련 전공자, 혹은 비전공자라도 IT 기초 지식(컴퓨터활용능력 등)이 있거나 개발자 취업 의지가 확고한 자 ", O , O , X , X , PC , O , 없음 , 3 , 2 , 자율구성 , Git/GitHub , O , O , O , O , O 
에듀윌 국비교육원 성남센터,RDB 활용 GEN-AI 풀스택 개발자 과정,20251127,20260521,120,960,경기 성남시 중원구,오프라인,미상,유, 9493000 , 0 ," 9,493,000 "," 316,000 ", 없음 ," 1.Database Mastery: Oracle/MySQL 등 RDB(Relational Database) 설계, 쿼리 튜닝, 데이터 모델링 능력을 심도 있게 학습하여 백엔드 개발의 기초를 다짐
2.Integration: DB에 저장된 기업 데이터를 AI가 조회하고 답변해주는(RAG 기초) 형태의 지능형 서비스 개발 ",심화,심화,심화,심화,기본,기본,기본,기본,심화,기본," 국민내일배움카드 발급 가능자, 6개월간 성실히 훈련에 참여할 미취업자 "," 컴퓨터/통계/데이터 관련 전공자, SQL 자격증(SQLD 등) 소지자, 데이터베이스에 관심이 많은 비전공자 ", O , O , X , X , PC , O , 없음 , 3 , 2 , 자율구성 , Git/GitHub , O , O , O , O , O 
아시아경제 교육센터,AI기반 자율주행(ROS2) 산업융합 Biz모델 개발 과정,20251127,20260609,121,960,서울 중구,오프라인,미상,유, 9493000 , 0 ," 9,493,000 "," 316,000 ", 없음 ," 1.Autonomous Driving: ROS 2를 기반으로 자율주행 알고리즘(SLAM, Navigation)을 구현하고 로봇을 제어
2.Biz Model: 자율주행 기술을 활용한 새로운 서비스(배달, 순찰, 안내 등)를 기획하고 비즈니스 모델(BM)을 수립 ",심화,심화,심화,기본,심화,기본,기본,기본,기본,기본," 국민내일배움카드 발급 가능자, 6개월간 풀타임 교육 참여 가능한 구직자 "," 기계/전자/컴퓨터공학 전공자, 프로그래밍(Python/C++) 기초가 있는 자. 창업에 관심이 있거나 기획력이 있는 비전공자도 환영 ", O , O , X , X , PC , O , 없음 , 3 , 2 , 자율구성 , Git/GitHub , O , O , O , O , O 
두드림컴퓨터아카데미,심화_생성형AI를 통한 데이터분석 RPA 자동화 서비스 플랫폼 개발과정,20251127,20260129,44,349,경기 용인시 기흥구,오프라인,미상,유, 9493000 , 0 ," 9,493,000 "," 116,000 ", 없음 ," 1.RPA Automation: Python(Selenium, PyAutoGUI) 및 OpenCV를 활용하여 웹/앱/데이터 처리를 자동화하는 RPA 봇 개발
2.Generative AI: OpenAI API(ChatGPT) 등 생성형 AI를 연동하여 지능형 자동화 서비스 구현 ",기본,심화,심화,기본,기본,기본,기본,기본,기본,심화, 국민내일배움카드 발급 가능자 ," Python 기초 지식이 있거나, 개발 경험이 있지만 최신 기술(AI, DevOps)을 보강하고 싶은 전공자/경력자 ", O , O , X , X , PC , O , 없음 , 2 , 2 , 자율구성 , Git/GitHub , O , O , O , O , O 
